Catégorie,Nom,Prix,Évaluation (étoiles),Nombre d'Avis,URL,BestSeller
Electronics,Amazon Basics Lot de 40 piles alkaline AA industrielles,"10,80 €","4,6 sur 5 étoiles",127 265,https://www.amazon.fr/AmazonBasics-piles-alcalines-AA-industrielles/dp/B07MLFBJG3/ref=zg_bs_g_electronics_d_sccl_11/258-8379825-8860218?psc=1,1
Electronics,"Apple AirPods 4 Écouteurs sans Fil, Casques et écouteurs Bluetooth, Audio Spatial personnalisé, résistance à la Transpiration et l’Eau, boîtier de Charge USB-C, Puce H2, Jusqu’à 24 Heures d’autonomie","116,73 €","4,4 sur 5 étoiles",2 379,https://www.amazon.fr/Apple-personnalis%C3%A9-r%C3%A9sistance-Transpiration-dautonomie/dp/B0DGHWD7CT/ref=zg_bs_g_electronics_d_sccl_12/258-8379825-8860218?psc=1,1
Electronics,"Duracell Plus Piles AA (lot de 12) - Alcalines 1,5V - Jusqu’à 100% plus longtemps - Idéales pour les appareils du quotidien - Emballage 0% plastique - Conservation 10 ans - LR6 MN1500","6,66 €","4,7 sur 5 étoiles",41 229,https://www.amazon.fr/Piles-AA-Duracell-Plus-lot-Conservation/dp/B093LVB4P7/ref=zg_bs_g_electronics_d_sccl_13/258-8379825-8860218?psc=1,1
Electronics,"DURACELL CR2032 Piles Boutons au lithium 3V (lot de 4) - Jusqu’à +70 % de longévité - Technologie Sécurité Enfant - Recommandées pour l’AirTag d’Apple - Clés, appareils maison, sport et médicaux","5,53 €","4,7 sur 5 étoiles",120 997,https://www.amazon.fr/DURACELL-CR2032-Piles-Boutons-lithium/dp/B01CG0TO76/ref=zg_bs_g_electronics_d_sccl_14/258-8379825-8860218?psc=1,1
Electronics,"Energizer Piles AAA, Alkaline Power, Lot de 16, Pile alcaline","9,16 €","4,7 sur 5 étoiles",25 826,https://www.amazon.fr/Energizer-Pack-Piles-Alkaline-Power/dp/B07L49WWWR/ref=zg_bs_g_electronics_d_sccl_15/258-8379825-8860218?psc=1,1
Electronics,Apple EarPods avec connecteur Lightning ​​​​​​​,"16,82 €","4,5 sur 5 étoiles",5 560,https://www.amazon.fr/Apple-EarPods-avec-connecteur-Lightning/dp/B0D7MNX9Y5/ref=zg_bs_g_electronics_d_sccl_16/258-8379825-8860218?psc=1,1
Electronics,"VARTA Piles Bouton CR2032, lot de 5, Power on Demand, Lithium, 3V, emballage sécurisé pour les enfants, pour petits appareils électroniques - clés de voiture, télécommandes, balances","7,56 €","4,7 sur 5 étoiles",52 115,https://www.amazon.fr/Varta-2032-Pile-Lithium-Pi%C3%A8ces/dp/B00TYEL11K/ref=zg_bs_g_electronics_d_sccl_17/258-8379825-8860218?psc=1,1
Electronics,Energizer Lithium Batteries 2032 - 6 pack,"5,04 €","4,7 sur 5 étoiles",2 295,https://www.amazon.fr/Energizer-Lithium-Batteries-2032-pack/dp/B0073GG67A/ref=zg_bs_g_electronics_d_sccl_18/258-8379825-8860218?psc=1,1
Electronics,Apple Lot de 4 AirTags,"115,00 €","4,6 sur 5 étoiles",124 093,https://www.amazon.fr/Nouveau-Apple-Lot-de-4-AirTags/dp/B0935JRJ59/ref=zg_bs_g_electronics_d_sccl_19/258-8379825-8860218?psc=1,1
Electronics,"FNTCASE Coque pour iPhone 13 : iPhone 14 iPhone 16e - Protection magnétique Militaire Contre Les Chutes - Anti-jaunissement - Coque de Protection Robuste et Durable résistante aux Chocs - 6,1""","8,32 €","4,5 sur 5 étoiles",3 486,https://www.amazon.fr/FNTCASE-Coque-iPhone-13-Anti-jaunissement/dp/B0CB8CS9J7/ref=zg_bs_g_electronics_d_sccl_20/258-8379825-8860218?psc=1,1
Electronics,"Lot de 2 pour Chargeur Rapide iPhone, 20W PD USB-C Prise Secteur avec 2m Câble USB C vers Lightning pour iPhone 14/14 pro/13/13 Pro/13 Pro Max/13 Min","14,99 €","4,3 sur 5 étoiles",1 489,https://www.amazon.fr/Chargeur-Rapide-iPhone-Secteur-Lightning/dp/B0D2HG659D/ref=zg_bs_g_electronics_d_sccl_21/258-8379825-8860218?psc=1,1
Electronics,"DURACELL CR2032 Piles Boutons au lithium 3V (lot de 8) - Jusqu’à +70 % de longévité - Technologie Sécurité Enfant - Recommandées pour l’AirTag d’Apple - Clés, appareils maison, sport et médicaux","9,94 €","4,7 sur 5 étoiles",3 086,https://www.amazon.fr/DURACELL-CR2032-Piles-Boutons-lithium/dp/B06VW5BH2K/ref=zg_bs_g_electronics_d_sccl_22/258-8379825-8860218?psc=1,1
Electronics,"Nouvel Amazon Kindle Paperwhite (16 Go) | Notre modèle le plus rapide avec un nouvel écran antireflets de 7"" et une autonomie de plusieurs semaines | Sans publicités | Noir","179,99 €","4,5 sur 5 étoiles",538,https://www.amazon.fr/kindle-paperwhite-2024/dp/B0CFPWLGF2/ref=zg_bs_g_electronics_d_sccl_23/258-8379825-8860218?psc=1,1
Electronics,SAMSUNG Galaxy A05s 4GB+64GB [Version Internationale] (Noir),"99,97 €","4,4 sur 5 étoiles",962,https://www.amazon.fr/SAMSUNG-Galaxy-A05s-Version-Internationale/dp/B0CQJY9JYT/ref=zg_bs_g_electronics_d_sccl_24/258-8379825-8860218?psc=1,1
Electronics,"Ecouteurs Bluetooth sans Fil,Bluetooth 5.3 Ecouteurs sans Fil,Ecouteurs Hi-FI Son Stéréo,Écouteurs 35H Durée de Lecture CVC Réduction de Bruit USB C Casque Bluetooth for iOS Galaxy Xiaomi Oppo Android","16,99 €","4,4 sur 5 étoiles",9 380,https://www.amazon.fr/Ecouteurs-Bluetooth-%C3%89couteurs-R%C3%A9duction-Cervanta/dp/B0CHLYB4Z3/ref=zg_bs_g_electronics_d_sccl_25/258-8379825-8860218?psc=1,1
Electronics,"Power Bank 27000mAh 22.5W PD3.0 QC4.0 Batterie Externe Fast Charge Rapide Powerbank Portable avec écran LCD USB C Input & Output Chargeur Compatible avec Smartphone, tablettes","16,99 €","4,6 sur 5 étoiles",103,https://www.amazon.fr/27000mAh-Powerbank-Compatible-Smartphone-tablettes/dp/B0DJ76L9D6/ref=zg_bs_g_electronics_d_sccl_26/258-8379825-8860218?psc=1,1
Electronics,"Apple AirPods Pro 2 Écouteurs sans Fil, Casques et écouteurs Bluetooth, Réduction Active du Bruit, Appareil auditif, Mode Transparence, Audio Spatial personnalisé, Son Haute-fidélité, Recharge USB-C","224,66 €","4,6 sur 5 étoiles",14 316,https://www.amazon.fr/Apple-%C3%89couteurs-Transparence-personnalis%C3%A9-Haute-fid%C3%A9lit%C3%A9/dp/B0CHWZ9TZS/ref=zg_bs_g_electronics_d_sccl_27/258-8379825-8860218?psc=1,1
Electronics,"JBL TUNE 510BT – Casque supra-auriculaire sans fil – Equipé de la technologie Bluetooth – Connection multi-points – Léger, confortable et pliable – Jusqu’à 40 hrs d’écoute – Noir","28,29 €","4,6 sur 5 étoiles",48 788,https://www.amazon.fr/JBL-TUNE-510BT-supra-auriculaire-multi-points/dp/B08VD6SRBZ/ref=zg_bs_g_electronics_d_sccl_28/258-8379825-8860218?psc=1,1
Electronics,"Energizer Piles AA, Alkaline Power, Lot de 24, Pile alcaline","12,91 €","4,7 sur 5 étoiles",74 311,https://www.amazon.fr/Energizer-Pack-Piles-Alkaline-Power/dp/B07L49RDJH/ref=zg_bs_g_electronics_d_sccl_29/258-8379825-8860218?psc=1,1
Electronics,"Adaptateur CarPlay sans fil pour Apple iPhone, adaptateur sans fil carplay avec câble d'extension USB & USB-C/Type-C, Compatible avec Les Voitures à partir de 2016 et Phone iOS 10+","29,99 €","3,6 sur 5 étoiles",259,https://www.amazon.fr/Adaptateur-adaptateur-dextension-Compatible-Voitures/dp/B0DLFW9DQN/ref=zg_bs_g_electronics_d_sccl_30/258-8379825-8860218?psc=1,1
Electronics,"Lot de 42, Piles AAA alcalines, LR03 1.5V, [Version Upgrade] Piles jetables performant pour Jouet, Réveil, Télécommande Portable et d'autres Dispositifs Quotidiens","8,32 €","4,5 sur 5 étoiles",8 808,https://www.amazon.fr/alcalines-performant-T%C3%A9l%C3%A9commande-Dispositifs-Quotidiens/dp/B0CJ6R179X/ref=zg_bs_g_electronics_d_sccl_1/260-9807672-1302462?psc=1,1
Electronics,Apple Adaptateur Secteur USB‑C 20 W (2024),"17,28 €","4,8 sur 5 étoiles",3 246,https://www.amazon.fr/Apple-Adaptateur-Secteur-USB%E2%80%91C-20/dp/B0D22PP2H4/ref=zg_bs_g_electronics_d_sccl_2/260-9807672-1302462?psc=1,1
Electronics,"CKCN Adaptateur de Prise de Casque à 3,5mm, Adaptateur Jack USB Type C avec DAC, écouteurs Numérique Type C vers Audio Compatible avec Galaxy S21 S20 S20+, MacBook Pro, Huawei","5,79 €","4,3 sur 5 étoiles",4 463,https://www.amazon.fr/Adaptateur-CKCN-%C3%A9couteurs-Num%C3%A9rique-Compatible/dp/B0BTHHGVTV/ref=zg_bs_g_electronics_d_sccl_3/260-9807672-1302462?psc=1,1
Electronics,"INIU Batterie Externe, Mini 10000mAh 22.5 W Power Bank Charge Rapide Chargeur Portable, USB C Out & Input Powerbank avec Support pour iPhone 16 15 14 13 Pro Max Plus Samsung S23 S22 AirPods iPad etc","14,52 €","4,5 sur 5 étoiles",18 348,https://www.amazon.fr/INIU-Batterie-10000mAh-t%C3%A9l%C3%A9phone-Tablettes/dp/B08VD632WJ/ref=zg_bs_g_electronics_d_sccl_4/260-9807672-1302462?psc=1,1
Electronics,"Batterie Externe 27000mAh 22,5W PD20W Power Bank Charge Rapide, Chargeur Portable USB C avec Affichage LED, Compatible avec iPhone 15 14 13 12 Pro Samsung","19,99 €","4,4 sur 5 étoiles",3 540,https://www.amazon.fr/Batterie-27000mAh-Chargeur-Affichage-Compatible/dp/B0D9YBWR73/ref=zg_bs_g_electronics_d_sccl_5/260-9807672-1302462?psc=1,1
Electronics,"Duracell Plus Piles C (lot de 4) - Alcalines 1,5V - Durée de vie garantie à 100% - Idéales pour les appareils du quotidien - Emballage 0% plastique - Conservation 10 ans - MN1400","4,99 €","4,7 sur 5 étoiles",9 145,https://www.amazon.fr/Duracell-NOUVEAU-alcalines-MN1400-paquet/dp/B093C9FN7W/ref=zg_bs_g_electronics_d_sccl_6/260-9807672-1302462?psc=1,1
Electronics,"Duracell MN21 Pile alcaline 12V, lot de 2 ( A23 / 23A / V23GA / LRV08 / 8LR932 ), pour télécommandes, sonnettes de porte sans fil et systèmes de sécurité","2,31 €","4,7 sur 5 étoiles",140 244,https://www.amazon.fr/Duracell-MN21-Piles-sp%C3%A9ciales-alcalines/dp/B003UOWDCG/ref=zg_bs_g_electronics_d_sccl_7/260-9807672-1302462?psc=1,1
Electronics,"DURACELL 2450 Piles Boutons Lithium 3V (lot de 2) - Longue durée - Clés électroniques, dispositifs domestiques, balances et capteurs de température - Emballage Sécurité Enfant - Conservation 10 ans","13,00 €","4,7 sur 5 étoiles",140 244,https://www.amazon.fr/DURACELL-2450-Piles-Boutons-Lithium/dp/B09WJ9DM14/ref=zg_bs_g_electronics_d_sccl_8/260-9807672-1302462?psc=1,1
Electronics,"Batterie Externe Magnétique Power Bank sans Fil 5000mAh, PD 15W Charge Rapide Power Bank avec USB-C Entrée Chargeur Portable Compatible iPhone 16/15/14/13/12/Pro/Pro Max (Blanc)","18,99 €","4,6 sur 5 étoiles",1 428,https://www.amazon.fr/Batterie-Magn%C3%A9tique-Chargeur-Portable-Compatible/dp/B0D8KZ5LZM/ref=zg_bs_g_electronics_d_sccl_9/260-9807672-1302462?psc=1,1
Electronics,"Amazon Basics Piles Alcaline AAA 1,5 V pour le quotidien, Lot de 36 (le visuel peut différer)","10,31 €","4,6 sur 5 étoiles",1 603 419,https://www.amazon.fr/Amazon-Basics-Alcaline-quotidien-diff%C3%A9rer/dp/B00LH3DMUO/ref=zg_bs_g_electronics_d_sccl_10/260-9807672-1302462?psc=1,1
Electronics,"Warriors 10X Pile Piles 2032 CR2032 Bouton 3V, Capacité 240 mAh, Emballage à l'épreuve des Enfants, pour appareils Smart Home, clés de Voiture (10 Pack)","5,99 €","4,5 sur 5 étoiles",7 279,https://www.amazon.fr/Warriors-CR2032-piles-bouton-lithium/dp/B0BNVG3QHX/ref=zg_bs_g_electronics_d_sccl_11/260-9807672-1302462?psc=1,1
Electronics,"Support téléphone vélo Universel 360° Rotation Réglable Porte pour Guidons de Bicyclette/Moto Compatible avec iPhone, Samsung et 4,5-7,0 Pouces Smartphones (Noir-4)","8,98 €","4,5 sur 5 étoiles",2 518,https://www.amazon.fr/v%C3%A9lo%EF%BC%8CSupport-Smartphone-Bicyclette-Compatible-Smartphones/dp/B09Q17TSZQ/ref=zg_bs_g_electronics_d_sccl_12/260-9807672-1302462?psc=1,1
Electronics,"Type-C Chargeur Rapide pour Samsung Galaxy A14, A13, A15, A12, 4G/5G, S10, S9, S8, A04S, A05S, A33, A23, A32, A21S, A53, S24, S23, S22, S21, S20. Compatible Xiaomi Note9, Huawei. avec 2m Câble USB C","9,16 €","4,3 sur 5 étoiles",1 840,https://www.amazon.fr/Type-C-Chargeur-Samsung-Compatible-Google/dp/B0C5HCBRGM/ref=zg_bs_g_electronics_d_sccl_13/260-9807672-1302462?psc=1,1
Electronics,"Duracell Plus Piles AAA (lot de 24) - Alcalines 1,5V - Jusqu’à 100% plus longtemps - Idéales pour les appareils du quotidien - Emballage 0% plastique - Conservation 10 ans - LR03 MN2400","14,16 €","4,8 sur 5 étoiles",6 576,https://www.amazon.fr/Piles-AAA-Duracell-Plus-lot-Conservation/dp/B094YMYM5G/ref=zg_bs_g_electronics_d_sccl_14/260-9807672-1302462?psc=1,1
Electronics,BERIBES Casque Bluetooth sans Fil - Durée de Lecture : 65 h -avec Micro 6 Modes EQ - Style Around-Ear - avec Microphone - pour iPhone/iPad/Android/Ordinateurs Portables,"16,66 €","4,5 sur 5 étoiles",30 270,https://www.amazon.fr/BERIBES-Casque-Bluetooth-sans-Fil/dp/B09MKH7HDX/ref=zg_bs_g_electronics_d_sccl_15/260-9807672-1302462?psc=1,1
Electronics,"Écouteurs Bluetooth 5.3, Écouteur sans Fil avec 4 ENC Réduction Antibruit Mic Casque Bluetooth Hi-FI Son Stéréo, 36 Heures Durée de Lecture, IP7 Etanche, Écran LED, Contrôle Tactile","19,98 €","4,4 sur 5 étoiles",48 510,https://www.amazon.fr/%C3%89couteurs-Bluetooth-%C3%89couteur-R%C3%A9duction-Oreillette/dp/B0BCKHQGJN/ref=zg_bs_g_electronics_d_sccl_16/260-9807672-1302462?psc=1,1
Electronics,"Chargeur 45W Super Charge Rapide pour Samsung Galaxy S24+,S24 Ultra,S23+,S23 Ultra, S22,S21,Note20,A54,A53,Z Fold5,Flip5,Fold4, Flip4,Tab S8 Ultra,Prise Secteur USB C Adapteur avec 2m Câble USB C","14,99 €","4,4 sur 5 étoiles",72,https://www.amazon.fr/Chargeur-45W-Samsung-Secteur-Adapteur/dp/B0DP9QP1Z2/ref=zg_bs_g_electronics_d_sccl_17/260-9807672-1302462?psc=1,1
Electronics,"INIU Chargeur Induction Stand, 15W Qi Certifié Wireless Charge sans Fil Rapide à Double Bobine Lumière Adaptative Facile à Dormir pour iPhone 16 15 14 13 12 11 Pro Max Samsung Xiaomi Google etc","14,16 €","4,3 sur 5 étoiles",21 089,https://www.amazon.fr/INIU-Chargeur-Induction-Certifi%C3%A9-Adaptative/dp/B09GYCC1N7/ref=zg_bs_g_electronics_d_sccl_18/260-9807672-1302462?psc=1,1
Electronics,"TP-Link Tapo 2K Caméra Surveillance WiFi extérieur 360° C510W, Vision nocturne couleur, Détection de Personne et Suivi de Mouvement, Étanche IP65, Alarme sonore Personnalisable","30,83 €","4,4 sur 5 étoiles",4 305,https://www.amazon.fr/Tapo-Camera-C500-1080p/dp/B0BZMLKXL4/ref=zg_bs_g_electronics_d_sccl_19/260-9807672-1302462?psc=1,1
Electronics,"Chargeur USB C, Prise 25W Secteur Rapide pour iPhone 16/16 Pro/16 Pro Max/16 Plus /15/14/13/12/11/SE 2020/X/XS, Pad Pro, Galaxy, Pixel, Type C Mural Alimentation Adaptateur Trefard","9,99 €","4,6 sur 5 étoiles",1 341,https://www.amazon.fr/Trefard-Chargeur-Secteur-Alimentation-Adaptateur/dp/B0D17NDDTZ/ref=zg_bs_g_electronics_d_sccl_20/260-9807672-1302462?psc=1,1
Electronics,Amazon Basics Lot de 6 piles bouton LR44 Alcaline,"3,75 €","4,6 sur 5 étoiles",64 702,https://www.amazon.fr/Amazon-Basics-piles-bouton-Alcaline/dp/B07JLBCH8L/ref=zg_bs_g_electronics_d_sccl_21/260-9807672-1302462?psc=1,1
Electronics,"Xiaomi Redmi Watch 5 Active - Écran LCD 2,0"", 18 Jours d'Autonomie, Appels Bluetooth, Étanche 5ATM, Suivi Santé (Cardiaque, SPO₂, Sommeil), Garantie 2 Ans (Noir)","24,99 €","4,5 sur 5 étoiles",1 761,https://www.amazon.fr/Xiaomi-Redmi-Watch-Active-dAutonomie/dp/B0DFZPR9Z4/ref=zg_bs_g_electronics_d_sccl_22/260-9807672-1302462?psc=1,1
Electronics,"Batterie Externe 20000mAh avec Câble intégré : 35W Power Bank à Charge Rapide pour téléphone Portable, Batterie USB C (Input & Output), Chargeur Portable avec 4 Sorties et 2 entrées- Blanc","24,99 €","4,5 sur 5 étoiles",161,https://www.amazon.fr/Batterie-Externe-20000mAh-C%C3%A2ble-int%C3%A9gr%C3%A9/dp/B0DC9FNVH5/ref=zg_bs_g_electronics_d_sccl_23/260-9807672-1302462?psc=1,1
Electronics,Energizer Lot de 2 piles alcalines A23 MN21 LRV08 GP23A 12V,"3,19 €","4,6 sur 5 étoiles",1 363,https://www.amazon.fr/Energizer-piles-alcalines-LRV08-GP23A/dp/B002YOWPHG/ref=zg_bs_g_electronics_d_sccl_24/260-9807672-1302462?psc=1,1
Electronics,"Amazon Basics NiMh Piles Rechargeables AAA Haute capacité, 850 mAh, pré-chargées, Lot de 8","8,82 €","4,4 sur 5 étoiles",211 175,https://www.amazon.fr/Amazon-Basics-Rechargeables-capacit%C3%A9-pr%C3%A9-charg%C3%A9es/dp/B00HZV9YE0/ref=zg_bs_g_electronics_d_sccl_25/260-9807672-1302462?psc=1,1
Electronics,Samsung Galaxy A16 4GB+128GB [Version Internationale] (Bleu Nuit),"149,90 €","4,4 sur 5 étoiles",176,https://www.amazon.fr/Samsung-Galaxy-128GB-Version-Internationale/dp/B0DM1S54MZ/ref=zg_bs_g_electronics_d_sccl_26/260-9807672-1302462?psc=1,1
Electronics,"FLLAO 4 en 1 Coque pour iPhone 16 avec 2 Verre Trempé et 1 Caméra Protecteur, [Coussin d'air Intégré] Antichoc Antirayures Bumper Protection Housse pour iPhone 16 6.1"", Transparent","7,49 €","4,4 sur 5 étoiles",4 225,https://www.amazon.fr/FLLAO-Protecteur-Antirayures-Protection-Transparent/dp/B0DD6YLGTB/ref=zg_bs_g_electronics_d_sccl_27/260-9807672-1302462?psc=1,1
Electronics,"Chargeur iphone Rapide, certifié Apple MFi 20W Chargeur Rapide USB c pour iphone avec 2m Câble USB C pour Apple iPhone 14/14Pro/13/13 Mini/13 Pro/13 Pro Max/12/12 Pro/12 Pro Max/11/11 Pro/11 Pro Max","10,82 €","4,2 sur 5 étoiles",1 236,https://www.amazon.fr/Chargeur-iphone-Rapide-certifi%C3%A9-iPhone/dp/B0BCFJPLT7/ref=zg_bs_g_electronics_d_sccl_28/260-9807672-1302462?psc=1,1
Electronics,"YESYAMO 2K Camera Surveillance WiFi Exterieure sans Fil Solaire, 2.4GHz Camera Exterieur Solaire avec Panneau Solaire, 360° PTZ, Vision Nocturne Couleur, Audio Bidirectionnel, PIR Sirène (Noir)","57,19 €","4,3 sur 5 étoiles",2 907,https://www.amazon.fr/YESYAMO-Surveillance-Exterieure-Exterieur-Bidirectionnel/dp/B0CMZSTC2N/ref=zg_bs_g_electronics_d_sccl_29/260-9807672-1302462?psc=1,1
Electronics,"JBL T110 – Ecouteurs intra-auriculaires filaires – Son Pure Bass de JBL et bouton de contrôle – Connectivité : câble Jack 3,5 mm – Couleur : Noir","7,67 €","4,3 sur 5 étoiles",87 514,https://www.amazon.fr/JBL-T110-Ecouteurs-intra-auriculaires-Connectivit%C3%A9/dp/B01MG62Z5M/ref=zg_bs_g_electronics_d_sccl_30/260-9807672-1302462?psc=1,1
Books,Intérieur nuit,"17,06 €","4,7 sur 5 étoiles",Nicolas Demorand,https://www.amazon.fr/Int%C3%A9rieur-nuit-Nicolas-Demorand/dp/B0F2KYDS84/ref=zg_bs_g_books_d_sccl_1/257-5539668-5501047?psc=1,1
Books,Les secrets de la femme de ménage,"8,15 €","4,5 sur 5 étoiles",Freida McFadden,https://www.amazon.fr/secrets-femme-m%C3%A9nage-Freida-McFadden/dp/2290391190/ref=zg_bs_g_books_d_sccl_2/257-5539668-5501047?psc=1,1
Books,La femme de ménage,"8,15 €","4,5 sur 5 étoiles",Freida McFadden,https://www.amazon.fr/femme-m%C3%A9nage-Freida-McFadden/dp/2290391174/ref=zg_bs_g_books_d_sccl_3/257-5539668-5501047?psc=1,1
Books,KRAKEN: Système politique de l'ère numérique,"9,47 €","5,0 sur 5 étoiles",Gary Laski,https://www.amazon.fr/KRAKEN-Syst%C3%A8me-politique-l%C3%A8re-num%C3%A9rique/dp/B0DVG7ZPGC/ref=zg_bs_g_books_d_sccl_4/257-5539668-5501047?psc=1,1
Books,L'heure des prédateurs,"18,01 €","4,1 sur 5 étoiles",Giuliano da Empoli,https://www.amazon.fr/Lheure-pr%C3%A9dateurs-Giuliano-Empoli/dp/2073113206/ref=zg_bs_g_books_d_sccl_5/257-5539668-5501047?psc=1,1
Books,One Piece - Édition originale - Tome 109,"6,82 €","5,0 sur 5 étoiles",Eiichiro Oda,https://www.amazon.fr/One-Piece-%C3%89dition-originale-109/dp/2344061347/ref=zg_bs_g_books_d_sccl_6/257-5539668-5501047?psc=1,1
Books,La femme de ménage voit tout,"20,85 €","4,5 sur 5 étoiles",Freida McFadden,https://www.amazon.fr/femme-m%C3%A9nage-voit-tout/dp/2824627573/ref=zg_bs_g_books_d_sccl_8/257-5539668-5501047?psc=1,1
Books,Hunger Games : Lever de soleil sur la moisson,"18,86 €","4,8 sur 5 étoiles",Suzanne Collins,https://www.amazon.fr/Hunger-Games-Lever-soleil-moisson/dp/2266350749/ref=zg_bs_g_books_d_sccl_9/257-5539668-5501047?psc=1,1
Books,Antigone,"6,16 €","4,6 sur 5 étoiles",Jean Anouilh,https://www.amazon.fr/Antigone-Jean-Anouilh/dp/2710381419/ref=zg_bs_g_books_d_sccl_10/257-5539668-5501047?psc=1,1
Books,La Très Catastrophique Visite du Zoo,"18,01 €","4,1 sur 5 étoiles",Joël Dicker,https://www.amazon.fr/Tr%C3%A8s-Catastrophique-Visite-Zoo/dp/2889730743/ref=zg_bs_g_books_d_sccl_11/257-5539668-5501047?psc=1,1
Books,"Coloriages mystères Disney - Héros & Méchants, la battle","13,29 €","3,2 sur 5 étoiles",Jérémy Mariez,https://www.amazon.fr/Coloriages-myst%C3%A8res-Disney-M%C3%A9chants-battle/dp/2017285994/ref=zg_bs_g_books_d_sccl_12/257-5539668-5501047?psc=1,1
Books,Lakestone - tome 2,"18,96 €","4,9 sur 5 étoiles",Sarah Rivens,https://www.amazon.fr/Lakestone-2-Sarah-Rivens/dp/2017286214/ref=zg_bs_g_books_d_sccl_13/257-5539668-5501047?psc=1,1
